         4074313 function calls (4065842 primitive calls) in 57.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2088    0.001    0.000    0.003    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:7593(ensure_index)
     2064    0.001    0.000    0.003    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:1434(_is_dtype_type)
        8    0.000    0.000    0.003    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\missing.py:101(isna)
        8    0.000    0.000    0.003    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\missing.py:184(_isna)
        1    0.000    0.000    0.003    0.003 C:\Users\jimru\Desktop\zelda_nes\player.py:43(import_link_animations)
     2061    0.002    0.000    0.003    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:2674(get_block_type)
    11544    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.003    0.001 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:2121(create_block_manager_from_column_arrays)
        4    0.000    0.000    0.003    0.001 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:2190(_form_blocks)
     2060    0.002    0.000    0.003    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\base.py:549(find)
     1036    0.001    0.000    0.003    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\base.py:86(_validate_set_axis)
     2048    0.002    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:572(condition)
     1024    0.001    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:2811(ensure_block_shape)
     3482    0.002    0.000    0.002    0.000 C:\Users\jimru\Desktop\zelda_nes\player.py:137(weapon_cooldown)
        8    0.000    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\missing.py:261(_isna_array)
     4148    0.002    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\inference.py:334(is_hashable)
        8    0.002    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\missing.py:305(_isna_string_dtype)
     1040    0.001    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:734(name)
        4    0.002    0.000    0.002    0.001 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:436(_split)
     2060    0.002    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\warnings.py:482(__enter__)
     2068    0.001    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:831(_values)
     4096    0.001    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\range.py:999(__len__)
     3484    0.002    0.000    0.002    0.000 {built-in method pygame.display.get_surface}
     1031    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:664(get_handle)
     1032    0.001    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\common.py:568(require_length_match)
     1044    0.001    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\construction.py:696(_sanitize_ndim)
     1040    0.001    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_config\config.py:635(_get_root)
     2048    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       32    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
     2060    0.001    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\warnings.py:503(__exit__)
       12    0.000    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\base.py:475(__new__)
     2048    0.001    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:667(_info_axis)
     2068    0.001    0.000    0.002    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\construction.py:481(ensure_wrapped_if_datetimelike)
     2061    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
